vessel_id,dwt,safety_score,main_engine_fuel_type,fuel_me_t,fuel_ae_t,fuel_ab_t,fuel_total_t,cost_per_tonne_me,cost_per_tonne_ae,cost_per_tonne_ab,fuel_cost_usd,carbon_cost_usd,ownership_cost_usd,base_cost_usd,risk_adj_rate,co2eq_t,cost_usd,cost_per_dwt,rank_cost_per_dwt_within_fuel
10641440,209485.0,5,AMMONIA,367.65334793007264,32.785853984,7.752917333333334,408.192119247406,744.0,555.1,555.1,296037.16281822574,12149.92433210427,923419.2455097227,1231606.3326600527,-0.05,151.87405415130337,1170026.01602705,5.585249617046806,1.0
10625600,210909.0,5,AMMONIA,395.5165513858455,30.618186346666665,7.224213333333334,433.35895106584553,744.0,555.1,555.1,315270.6302934371,11408.052629713042,923419.2455097227,1250097.928432873,-0.05,142.60065787141303,1187593.0320112293,5.63083145817025,2.0
10150460,262781.0,1,DISTILLATE FUEL,184.30180391066668,45.27141618,9.952496,239.52571609066666,555.1,555.1,555.1,132960.72500192907,68735.09924560014,659585.1753640878,861280.9996116171,0.1,859.1887405700018,947409.0995727788,3.605318114980835,1.0
10087110,261085.0,2,DISTILLATE FUEL,221.2872964746133,45.947924099999994,10.081855416666667,277.31707599128,555.1,555.1,555.1,153938.7088827595,83133.54805806879,659585.1753640878,896657.4323049161,0.05,1039.1693507258599,941490.3039201619,3.606068153743654,2.0
10245490,210938.0,5,DISTILLATE FUEL,176.4015242715375,28.273183871999997,6.599296,211.27400414353752,555.1,555.1,555.1,117278.19970007768,55023.13966099745,659585.1753640878,831886.5147251629,-0.05,687.7892457624681,790292.1889889047,3.746561496690519,4.0
10332600,207999.0,5,DISTILLATE FUEL,198.63066714824168,31.047017622000006,7.244941666666666,236.92262643690836,555.1,555.1,555.1,131515.74993512782,61696.54730518243,659585.1753640878,852797.472604398,-0.05,771.2068413147804,810157.5989741781,3.8950071826026957,5.0
10340520,209529.0,3,DISTILLATE FUEL,164.88365854583336,36.599090047000004,8.654638666666665,210.13738725950003,555.1,555.1,555.1,116647.26366774847,54912.71732556127,659585.1753640878,831145.1563573976,0.0,686.4089665695159,831145.1563573976,3.966730888599657,6.0
10134620,209997.0,5,DISTILLATE FUEL,248.63631469722222,28.473191316666668,6.229373333333332,283.33887934722225,555.1,555.1,555.1,157281.41192564307,73783.71089305145,659585.1753640878,890650.2981827823,-0.05,922.2963861631431,846117.7832736431,4.029189861158222,7.0
10427630,207999.0,4,DISTILLATE FUEL,224.0587302891667,34.514099022,8.137397916666668,266.71022722783334,555.1,555.1,555.1,148050.8471341703,69724.79317857568,659585.1753640878,877360.8156768337,-0.02,871.559914732196,859813.599363297,4.1337391014538385,8.0
10174220,203028.0,3,DISTILLATE FUEL,206.93501090166666,30.147810936666666,7.096865499999998,244.17968733833334,555.1,555.1,555.1,135544.14444150883,67008.10352542352,659585.1753640878,862137.4233310202,0.0,837.6012940677939,862137.4233310202,4.246396671055323,10.0
10356360,180592.0,3,DISTILLATE FUEL,132.57246955269335,25.288331437777778,5.916545583333334,163.77734657380446,555.1,555.1,555.1,90912.80508311886,42664.30384178576,659585.1753640878,793162.2842889924,0.0,533.303798022322,793162.2842889924,4.392012294503591,11.0
10419710,180391.0,4,DISTILLATE FUEL,286.10704922604,32.313241364444444,7.560117833333334,325.9804084238177,555.1,555.1,555.1,180951.72471606126,85159.9498471343,659585.1753640878,925696.8499272834,-0.02,1064.4993730891788,907182.9129287377,5.028981007526638,17.0
10578090,207939.0,4,ETHANOL,299.33687555689136,35.807483794333336,8.450035416666665,343.59439476789134,1447.2,555.1,555.1,457767.67521995923,58564.57978420934,791502.2104369054,1307834.465441074,-0.02,732.0572473026167,1281677.7761322525,6.163720014678596,2.0
10681030,114563.0,4,HYDROGEN,54.28901896728345,26.560537704166663,6.1292875,86.9788441714501,6000.0,555.1,555.1,343880.23577453353,8517.949023106677,628804.5338470972,981202.7186447374,-0.02,106.47436278883347,961578.6642718426,8.393448707452167,2.0
10776060,261089.0,4,LNG,198.07136027931546,33.6872133,7.391620416666667,239.1501939959821,720.0,555.1,555.1,165414.23999722878,55440.97435165925,923419.2455097227,1144274.4598586108,-0.02,693.0121793957406,1121388.9706614385,4.29504487229044,1.0
10855250,211474.0,4,LNG,111.90977662891898,26.191419409999998,6.282627999999999,144.38382403891896,720.0,555.1,555.1,98601.38289011267,33337.6261954041,923419.2455097227,1055358.2545952394,-0.02,416.7203274425512,1034251.0895033346,4.890677291313989,2.0
10831500,208947.0,4,LNG,146.90387140852502,30.98707472972222,7.241485416666667,185.13243155491392,720.0,555.1,555.1,126991.46115139849,42616.454428601006,923419.2455097227,1093027.1610897223,-0.02,532.7056803575126,1071166.6178679278,5.126499149870195,4.0
10791900,179700.0,5,LNG,171.60142659365744,28.959233968,6.814935999999999,207.37559656165743,720.0,555.1,555.1,143411.26889667014,47468.36843044798,923419.2455097227,1114298.8828368408,-0.05,593.3546053805998,1058583.9386949986,5.890839948219247,6.0
10736470,179561.0,5,LNG,213.51885777008016,30.47823345116666,0.0,243.99709122124682,720.0,555.1,555.1,170652.04498320032,55664.59627651337,923419.2455097227,1149735.8867694363,-0.05,695.8074534564172,1092249.0924309643,6.082885996574782,7.0
10459300,210909.0,4,LPG (BUTANE),223.63560157719365,27.513787198666666,6.491745333333334,257.6411341091937,685.5,555.1,555.1,172178.67598967947,63943.02318090001,890439.9867415186,1126561.685912098,-0.02,799.2877897612501,1104030.452193856,5.2346294003283695,1.0
10435550,206118.0,4,LPG (PROPANE),229.85987064823178,29.644116359,6.666318749999999,266.1703057572318,694.5,555.1,555.1,179793.60269420285,65524.786313346354,857460.7279733141,1102779.1169808633,-0.02,819.0598289168295,1080723.534641246,5.243227348612184,1.0
10443460,205905.0,5,LPG (PROPANE),285.44596905792054,28.195091758333334,6.2990375,319.94009831625385,694.5,555.1,555.1,217389.91666202666,78610.8115522645,857460.7279733141,1153461.4561876054,-0.05,982.6351444033062,1095788.3833782251,5.321815319580511,2.0
10498900,40483.0,4,METHANOL,140.34838263149894,19.654866911166664,4.725072916666667,164.72832245933228,1074.6,555.1,555.1,164351.67657423904,22338.341907127833,504949.0953620628,691639.1138434296,-0.02,279.2292738390979,677806.331566561,16.742986724466096,6.0
